[2021-03-23 13:25:10.979015] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71801
[2021-03-23 13:25:10.979146] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:11.461911] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:11.461957] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71801
[2021-03-23 13:25:11.462069] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:11.975058] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:11.984186] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.4, Volume: 71802
[2021-03-23 13:25:11.984303] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:12.267281] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:12.308208] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71804
[2021-03-23 13:25:12.308231] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:12.775227] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.4, Volume: 71805
